[2025-03-16 22:24:51] Usuário: 0 | Nome Usuário: Desconhecido | IP: ::1 | Status: Acesso negado! Usuário inexistente ou inativo!
[2025-03-16 22:25:13] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: ::1 | Status: Sucesso no login.
[2025-03-16 22:25:23] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: ::1 | Status: Saiu do sistema e/ou tempo se encerrou.
[2025-03-18 20:16:47] Usuário: 0 | Nome Usuário: Desconhecido | IP: ::1 | Status: Acesso negado! Usuário inexistente ou inativo!
[2025-03-18 20:16:52] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: ::1 | Status: Sucesso no login.
[2025-03-18 23:27:45] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: ::1 | Status: Saiu do sistema e/ou tempo se encerrou.
[2025-03-19 10:57:22] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: ::1 | Status: Sucesso no login.
[2025-03-19 11:45:57] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: ::1 | Status: Saiu do sistema e/ou tempo se encerrou.
[2025-03-19 11:46:30] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: ::1 | Status: Sucesso no login.
[2025-03-19 11:46:49] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: ::1 | Status: Saiu do sistema e/ou tempo se encerrou.
[2025-03-19 11:46:57] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: ::1 | Status: Sucesso no login.
[2025-03-19 11:47:21] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: ::1 | Status: Saiu do sistema e/ou tempo se encerrou.
[2025-03-19 11:47:26] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: ::1 | Status: Sucesso no login.
[2025-03-19 17:15:30] Usuário: 0 | Nome Usuário: Desconhecido | IP: ::1 | Status: Acesso negado! Usuário inexistente ou inativo!
[2025-03-19 17:28:39] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: ::1 | Status: Saiu do sistema e/ou tempo se encerrou.
[2025-03-19 17:28:45] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: ::1 | Status: Sucesso no login.
[2025-03-19 17:40:01] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: ::1 | Status: Saiu do sistema e/ou tempo se encerrou.
[2025-10-23 21:55:10] acesso_negado_login
[2025-10-23 21:55:45] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: 189.39.108.218 | Status: Sucesso no login.
[2025-10-23 22:00:09] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: 189.39.108.218 | Status: Sucesso no login.
[2025-10-23 22:00:32] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: 189.39.108.218 | Status: Saiu do sistema e/ou tempo se encerrou.
[2025-10-23 22:02:08] Usuário: 0 | Nome Usuário: SemUsuario | IP: 189.39.108.218 | Status: Login falhou. Usuário ou senha errada.
[2025-10-23 22:02:11] Usuário: 0 | Nome Usuário: SemUsuario | IP: 189.39.108.218 | Status: Login falhou. Usuário ou senha errada.
[2025-10-23 22:02:14] Usuário: 0 | Nome Usuário: SemUsuario | IP: 189.39.108.218 | Status: Login falhou. Usuário ou senha errada.
[2025-10-24 11:00:45] Usuário: 0 | Nome Usuário: SemUsuario | IP: 201.22.74.22 | Status: Login falhou. Usuário ou senha errada.
[2025-10-24 11:00:47] Usuário: 0 | Nome Usuário: SemUsuario | IP: 201.22.74.22 | Status: Login falhou. Usuário ou senha errada.
[2025-10-26 20:12:00] Usuário: 0 | Nome Usuário: d | IP: 189.85.155.90 | Status: Acesso negado! Usuário inexistente ou inativo!
[2025-10-26 20:13:24] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: 189.85.155.90 | Status: Sucesso no login.
[2025-10-26 20:28:32] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: 189.85.155.90 | Status: Saiu do sistema e/ou tempo se encerrou.
[2025-10-27 07:36:25] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: 201.22.74.22 | Status: Sucesso no login.
[2025-10-27 07:54:46] acesso_negado_login
[2025-10-27 07:54:54] Usuário: 1 | Nome Usuário: Diezare.Conde | IP: 201.22.74.22 | Status: Sucesso no login.
[2025-10-27 08:31:37] acesso_negado_login
